"item","f_neg_have_choice","f_ln_disutility","f_expect_free","f_lasts_a_while","f_can_hold_touch","f_worthless_alone","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0118492409570639,0.640682963592368,0.126958620688186,-0.253106857252416,0.0124552428355936,0.116191716438823,"factor anaysis",,,,,,,
"expensive",-0.0530021568489013,0.723813925818587,0.0674022588274728,-0.0954248134826311,0.00577825593952943,-0.0316628513871517,"factor anaysis",,,,,,,
"worthless_alone",-0.0175741671151378,0.0257469817981807,-0.000795117128778079,-0.0240027210843983,0.0073274161905072,1.00158755278401,"factor anaysis",,,,,,,
"value_with_others",0.0532236795702309,-0.0533494497647346,0.00358047739173992,0.127764216105253,-0.0335125026964665,0.722290619043546,"factor anaysis",,,,,,,
"have_choice",-0.813948885732769,0.0109487548310922,-0.0174855428889057,0.0571029922563122,-0.0385618964611079,0.0285857349902613,"factor anaysis",,,,,,,
"have_other_options",-0.653697974418333,0.129080710406272,0.113979772374205,-0.059528617151506,0.0146998038448863,-0.0409905366595234,"factor anaysis",,,,,,,
"no_real_alternatives",0.649946778799925,-0.0215030411246289,0.0465486093076713,-0.0432192228730725,-0.028735441802344,0.131835545636064,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.743255801770727,0.105189753783533,0.0637434844423583,0.0183111419681558,-0.0410904890083873,-0.0415769295809541,"factor anaysis",,,,,,,
"cant_control_timing",0.715062179410742,0.0743187569675252,0.037755455482246,0.0599996097530091,-0.0322857805534298,-0.0100133909946555,"factor anaysis",,,,,,,
"can_hold_touch",0.0311413361619487,-0.0323793881112149,-0.012274904972884,-0.00808420026450941,0.993904929806194,-0.0207238386824993,"factor anaysis",,,,,,,
"physical_product",-0.0730126144572851,0.0584941650484791,0.00724886843294998,0.0584999440257628,0.812128829454008,0.0299895616937232,"factor anaysis",,,,,,,
"use_long_period",-0.0431267929958952,0.00981779312303539,0.0499098006147273,0.874319009748128,-0.013216473498191,0.0205201503253719,"factor anaysis",,,,,,,
"lasts_a_while",0.0377426913788515,0.00391456547005053,0.00160711236660199,0.95814309310116,0.0420893004809307,0.022293863708781,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0450791264684157,-0.0226586747502177,0.600190046021597,0.0673219473394155,-0.085394776086097,-0.0306256348067269,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.161931090654754,-0.00855710175820225,0.513491419291295,0.0736138887536495,-0.119185644839596,0.0530578200019491,"factor anaysis",,,,,,,
"expect_free",-0.0166628509131888,0.00700125875016251,0.92985924129891,-0.00323467278568119,0.0262984591982351,0.00109800045298158,"factor anaysis",,,,,,,
"should_be_free",0.183211296012333,-0.0245446885166859,0.742782363311927,0.0283566758766043,-0.0205776966581487,0.0289988084395906,"factor anaysis",,,,,,,
"ln_disutility",0.0506029914846373,0.857241303315753,-0.00426823883628866,-0.00895343037148465,0.0245048371045652,0.0416195204653963,"factor anaysis",,,,,,,
"ln_typ_charge",0.0295200947708761,0.800000173682753,-0.129884187208954,0.232619748659392,-0.0651572238043277,-0.0576404215568238,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.241,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_ln_disutility",0.69,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.066,399,"p=0.188",,,
,,,,,,,"factor score correlations","painful_1_f_can_hold_touch",-0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.069,399,"p=0.169",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_ln_disutility",0.146,399,"p=0.003",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.276,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.104,399,"p=0.038",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_can_hold_touch",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.117,399,"p=0.019",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.151,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.187,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.188,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_expect_free",-0.056,399,"p=0.261",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_lasts_a_while",0.055,399,"p=0.268",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_can_hold_touch",-0.155,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_worthless_alone",0.033,399,"p=0.513",,,
,,,,,,,"factor score correlations","f_ln_disutility_ln_typ_charge",0.864,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_ln_disutility",0.885,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_like_1",-0.399,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_value_1",-0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",-0.044,399,"p=0.384",,,
,,,,,,,"factor score correlations","f_expect_free_f_can_hold_touch",-0.353,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.279,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.175,399,"p<.001",,,
